Id,Car Make,Production Year,Car Mileage,Cost
1,Porsche,1994,72570,40000
2,Toyota,1996,284013,3000
3,Ferrari,2012,198829,3000
4,Ford,1975,147436,3000
5,Ford,1975,192004,3000
6,Audi,2012,142525,3000
7,BMW,1995,164309,40000
8,Volvo,1994,206141,3000
9,BMW,2023,4183,3000
10,Mazda,1992,193280,3000
11,Suzuki,1972,140925,40000
12,Nissan,2020,197574,40000
13,Nissan,2021,294831,40000
14,Nissan,1973,264010,40000
15,Audi,1992,212354,40000
16,BMW,2011,296794,40000
17,Jaguar,1986,48664,3000
18,Jaguar,2018,24556,40000
19,Chevrolet,1989,159330,3000
20,Ford,1983,175979,3000
21,Nissan,1973,9725,3000
22,Subaru,2000,229284,3000
23,Ferrari,1970,276594,40000
24,Audi,1976,159751,40000
25,Ford,1971,77407,3000
26,Volkswagen,2006,295795,40000
27,Tesla,2003,117357,3000
28,Jaguar,1971,276344,3000
29,Kia,1979,172023,3000
30,Kia,2012,114715,3000
31,Hyundai,2002,293648,3000
32,Ferrari,1984,192521,40000
33,Subaru,1976,290821,3000
34,Audi,2016,37081,3000
35,Mercedes,1970,230856,3000
36,Mercedes,1977,192651,3000
37,Kia,2001,84863,40000
38,BMW,2009,241040,3000
39,Jaguar,1994,254668,3000
40,Kia,1986,28859,3000
41,Ferrari,2021,27122,3000
42,BMW,1989,166660,40000
43,Tesla,1970,9457,3000
44,Toyota,1982,152559,40000
45,Tesla,1973,248954,3000
46,Porsche,2021,38654,3000
47,Lamborghini,2005,207311,3000
48,Audi,1991,195367,3000
49,Ferrari,2003,88113,3000
50,Hyundai,2019,254291,3000
51,Chevrolet,2017,46404,40000
52,Hyundai,2011,64013,3000
53,Tesla,2014,158489,40000
54,Volvo,1978,35369,40000
55,Chevrolet,1998,78596,40000
56,Honda,1988,269803,3000
57,Lamborghini,1975,28547,3000
58,BMW,2008,253700,40000
59,Subaru,2013,110524,40000
60,Honda,1972,189592,40000
61,Land Rover,2008,35126,3000
62,Ford,1976,96431,3000
63,Lamborghini,1996,165448,40000
64,Hyundai,1986,73779,40000
65,Lamborghini,1989,247747,40000
66,Mercedes,2016,22797,3000
67,Lamborghini,2005,29294,40000
68,Subaru,1999,115630,40000
69,Volkswagen,2016,154845,3000
70,Nissan,1987,168771,3000
71,Land Rover,2011,252940,40000
72,Mercedes,2019,291966,3000
73,Mazda,1994,91330,40000
74,Toyota,1981,16125,40000
75,Jaguar,2017,162723,40000
76,Ford,2001,14612,40000
77,Lamborghini,1973,262466,3000
78,Chevrolet,2016,30416,40000
79,Toyota,1983,25522,3000
80,Volvo,2011,292800,40000
81,Tesla,2005,58607,3000
82,Nissan,2020,192345,3000
83,Chevrolet,1979,31311,40000
84,Subaru,2011,253419,40000
85,Porsche,1991,205048,40000
86,Mercedes,1981,284502,40000
87,Lamborghini,1998,78077,40000
88,Porsche,2015,193416,3000
89,Mazda,2014,160264,3000
90,Kia,2004,230583,40000
91,Subaru,2008,145316,3000
92,Subaru,1990,105484,3000
93,Ford,1996,234719,40000
94,Hyundai,1996,189155,40000
95,BMW,1997,32613,3000
96,Porsche,2009,92913,40000
97,Lamborghini,1999,140944,3000
98,Nissan,2007,140110,40000
99,Nissan,1987,72831,3000
100,Chevrolet,1995,103273,3000
101,Volkswagen,2015,166721,3000
102,Honda,2011,155527,3000
103,Mazda,2005,155538,40000
104,Porsche,2022,257064,3000
105,Ferrari,2018,183601,3000
106,Nissan,2002,38466,3000
107,Hyundai,2022,123380,40000
108,Volkswagen,2015,81206,40000
109,Hyundai,1970,155233,40000
110,Volvo,2022,290273,40000
111,Volkswagen,2013,139335,3000
112,Jaguar,2022,245255,40000
113,Audi,1981,205252,3000
114,Audi,1973,6314,40000
115,Porsche,1970,244076,40000
116,Jaguar,1997,92947,3000
117,Jaguar,1994,67551,40000
118,Subaru,1998,26061,3000
119,Suzuki,2016,46001,3000
120,Porsche,1975,68849,3000
121,Hyundai,2007,5754,3000
122,Mercedes,2016,11336,40000
123,Mercedes,1982,32727,3000
124,Mercedes,2006,62212,3000
125,Tesla,1996,161637,3000
126,Volvo,1975,241309,40000
127,Suzuki,2019,115608,3000
128,Mercedes,1978,145269,3000
129,Nissan,1982,189952,3000
130,Jaguar,1986,10882,40000
131,Porsche,2003,270173,40000
132,Lamborghini,1990,14576,3000
133,Porsche,1991,245313,40000
134,Mercedes,2019,45856,3000
135,Suzuki,1981,121301,3000
136,Kia,2001,122096,3000
137,Toyota,1984,214792,40000
138,Mercedes,1973,192260,3000
139,Volkswagen,1994,135470,3000
140,Honda,1981,201526,3000
141,Volkswagen,1971,29355,40000
142,Chevrolet,1979,296156,3000
143,Jaguar,1972,104203,3000
144,Porsche,1980,120422,3000
145,Volvo,1976,163357,40000
146,Volvo,1994,13148,3000
147,Mercedes,1976,262293,3000
148,Audi,1991,191367,3000
149,Volvo,1982,349,40000
150,Kia,2022,144602,40000
151,Jaguar,2007,185407,40000
152,Toyota,2003,70126,40000
153,Jaguar,1992,151526,40000
154,Ford,2018,31585,3000
155,Tesla,1972,251222,3000
156,Land Rover,1986,12410,3000
157,Ford,2011,143908,40000
158,Chevrolet,2015,166185,3000
159,Ferrari,2014,248294,3000
160,Porsche,2018,126444,3000
161,Tesla,2003,211766,40000
162,Suzuki,2000,8041,3000
163,Lamborghini,1979,298484,3000
164,Nissan,2001,7406,3000
165,BMW,1974,103291,40000
166,Subaru,1987,7591,3000
167,Ford,1989,48877,3000
168,Mazda,2004,267758,3000
169,Ford,1998,236371,40000
170,Jaguar,1993,232709,40000
171,Lamborghini,1981,83541,40000
172,Subaru,2018,229871,3000
173,Hyundai,2017,223707,40000
174,Honda,1992,102627,3000
175,Jaguar,1975,234651,40000
176,Volkswagen,2001,222111,40000
177,Ford,2016,200989,3000
178,Land Rover,2007,3174,40000
179,Lamborghini,1972,158830,40000
180,Volkswagen,1975,226442,3000
181,Porsche,2016,53180,3000
182,Ford,2001,138561,3000
183,Audi,2014,67227,3000
184,Nissan,2019,169279,40000
185,Land Rover,1973,37985,40000
186,Volkswagen,2017,69517,40000
187,Ferrari,2021,175365,3000
188,Ford,2005,71485,3000
189,Honda,1990,297769,40000
190,Honda,1976,185073,3000
191,Kia,2002,177204,40000
192,Volvo,1991,17876,3000
193,Ford,1976,127397,3000
194,Volvo,1984,72068,3000
195,Kia,1971,203966,40000
196,Volvo,2016,266985,40000
197,Lamborghini,2009,191438,3000
198,Tesla,2000,296738,40000
199,Ford,1974,135426,3000
200,Nissan,1972,237316,40000
201,Chevrolet,2004,112749,3000
202,Mercedes,1998,17564,3000
203,Mazda,2001,218996,40000
204,Subaru,1991,258300,3000
205,Subaru,2009,163896,3000
206,Kia,1976,105866,40000
207,Honda,2007,2652,40000
208,BMW,2022,146001,40000
209,Mazda,1991,248592,40000
210,Land Rover,1980,245874,3000
211,Mercedes,1994,106695,3000
212,Ferrari,2012,45706,3000
213,Toyota,2023,278693,3000
214,Audi,2015,290335,40000
215,Chevrolet,2014,88095,3000
216,Mercedes,2002,60445,3000
217,Land Rover,1996,14938,40000
