Car Make,Car Mileage,Cost,Id
Porsche,72570,40000,1
Toyota,284013,3000,2
Ferrari,198829,3000,3
Ford,147436,3000,4
Ford,192004,3000,5
Audi,142525,3000,6
BMW,164309,40000,7
Volvo,206141,3000,8
BMW,4183,3000,9
Mazda,193280,3000,10
Suzuki,140925,40000,11
Nissan,197574,40000,12
Nissan,294831,40000,13
Nissan,264010,40000,14
Audi,212354,40000,15
BMW,296794,40000,16
Jaguar,48664,3000,17
Jaguar,24556,40000,18
Chevrolet,159330,3000,19
Ford,175979,3000,20
Nissan,9725,3000,21
Subaru,229284,3000,22
Ferrari,276594,40000,23
Audi,159751,40000,24
Ford,77407,3000,25
Volkswagen,295795,40000,26
Tesla,117357,3000,27
Jaguar,276344,3000,28
Kia,172023,3000,29
Kia,114715,3000,30
Hyundai,293648,3000,31
Ferrari,192521,40000,32
Subaru,290821,3000,33
Audi,37081,3000,34
Mercedes,230856,3000,35
Mercedes,192651,3000,36
Kia,84863,40000,37
BMW,241040,3000,38
Jaguar,254668,3000,39
Kia,28859,3000,40
Ferrari,27122,3000,41
BMW,166660,40000,42
Tesla,9457,3000,43
Toyota,152559,40000,44
Tesla,248954,3000,45
Porsche,38654,3000,46
Lamborghini,207311,3000,47
Audi,195367,3000,48
Ferrari,88113,3000,49
Hyundai,254291,3000,50
Chevrolet,46404,40000,51
Hyundai,64013,3000,52
Tesla,158489,40000,53
Volvo,35369,40000,54
Chevrolet,78596,40000,55
Honda,269803,3000,56
Lamborghini,28547,3000,57
BMW,253700,40000,58
Subaru,110524,40000,59
Honda,189592,40000,60
Land Rover,35126,3000,61
Ford,96431,3000,62
Lamborghini,165448,40000,63
Hyundai,73779,40000,64
Lamborghini,247747,40000,65
Mercedes,22797,3000,66
Lamborghini,29294,40000,67
Subaru,115630,40000,68
Volkswagen,154845,3000,69
Nissan,168771,3000,70
Land Rover,252940,40000,71
Mercedes,291966,3000,72
Mazda,91330,40000,73
Toyota,16125,40000,74
Jaguar,162723,40000,75
Ford,14612,40000,76
Lamborghini,262466,3000,77
Chevrolet,30416,40000,78
Toyota,25522,3000,79
Volvo,292800,40000,80
Tesla,58607,3000,81
Nissan,192345,3000,82
Chevrolet,31311,40000,83
Subaru,253419,40000,84
Porsche,205048,40000,85
Mercedes,284502,40000,86
Lamborghini,78077,40000,87
Porsche,193416,3000,88
Mazda,160264,3000,89
Kia,230583,40000,90
Subaru,145316,3000,91
Subaru,105484,3000,92
Ford,234719,40000,93
Hyundai,189155,40000,94
BMW,32613,3000,95
Porsche,92913,40000,96
Lamborghini,140944,3000,97
Nissan,140110,40000,98
Nissan,72831,3000,99
Chevrolet,103273,3000,100
Volkswagen,166721,3000,101
Honda,155527,3000,102
Mazda,155538,40000,103
Porsche,257064,3000,104
Ferrari,183601,3000,105
Nissan,38466,3000,106
Hyundai,123380,40000,107
Volkswagen,81206,40000,108
Hyundai,155233,40000,109
