Production Year,Car Mileage,Cost,Id
1994,72570,40000,1
1996,284013,3000,2
2012,198829,3000,3
1975,147436,3000,4
1975,192004,3000,5
2012,142525,3000,6
1995,164309,40000,7
1994,206141,3000,8
2023,4183,3000,9
1992,193280,3000,10
1972,140925,40000,11
2020,197574,40000,12
2021,294831,40000,13
1973,264010,40000,14
1992,212354,40000,15
2011,296794,40000,16
1986,48664,3000,17
2018,24556,40000,18
1989,159330,3000,19
1983,175979,3000,20
1973,9725,3000,21
2000,229284,3000,22
1970,276594,40000,23
1976,159751,40000,24
1971,77407,3000,25
2006,295795,40000,26
2003,117357,3000,27
1971,276344,3000,28
1979,172023,3000,29
2012,114715,3000,30
2002,293648,3000,31
1984,192521,40000,32
1976,290821,3000,33
2016,37081,3000,34
1970,230856,3000,35
1977,192651,3000,36
2001,84863,40000,37
2009,241040,3000,38
1994,254668,3000,39
1986,28859,3000,40
2021,27122,3000,41
1989,166660,40000,42
1970,9457,3000,43
1982,152559,40000,44
1973,248954,3000,45
2021,38654,3000,46
2005,207311,3000,47
1991,195367,3000,48
2003,88113,3000,49
2019,254291,3000,50
2017,46404,40000,51
2011,64013,3000,52
2014,158489,40000,53
1978,35369,40000,54
1998,78596,40000,55
1988,269803,3000,56
1975,28547,3000,57
2008,253700,40000,58
2013,110524,40000,59
1972,189592,40000,60
2008,35126,3000,61
1976,96431,3000,62
1996,165448,40000,63
1986,73779,40000,64
1989,247747,40000,65
2016,22797,3000,66
2005,29294,40000,67
1999,115630,40000,68
2016,154845,3000,69
1987,168771,3000,70
2011,252940,40000,71
2019,291966,3000,72
1994,91330,40000,73
1981,16125,40000,74
2017,162723,40000,75
2001,14612,40000,76
1973,262466,3000,77
2016,30416,40000,78
1983,25522,3000,79
2011,292800,40000,80
2005,58607,3000,81
2020,192345,3000,82
1979,31311,40000,83
2011,253419,40000,84
1991,205048,40000,85
1981,284502,40000,86
1998,78077,40000,87
2015,193416,3000,88
2014,160264,3000,89
2004,230583,40000,90
2008,145316,3000,91
1990,105484,3000,92
1996,234719,40000,93
1996,189155,40000,94
1997,32613,3000,95
2009,92913,40000,96
1999,140944,3000,97
2007,140110,40000,98
1987,72831,3000,99
1995,103273,3000,100
2015,166721,3000,101
2011,155527,3000,102
2005,155538,40000,103
2022,257064,3000,104
2018,183601,3000,105
2002,38466,3000,106
2022,123380,40000,107
2015,81206,40000,108
1970,155233,40000,109
2022,290273,40000,110
2013,139335,3000,111
2022,245255,40000,112
1981,205252,3000,113
1973,6314,40000,114
1970,244076,40000,115
1997,92947,3000,116
1994,67551,40000,117
1998,26061,3000,118
2016,46001,3000,119
1975,68849,3000,120
2007,5754,3000,121
2016,11336,40000,122
1982,32727,3000,123
2006,62212,3000,124
1996,161637,3000,125
1975,241309,40000,126
2019,115608,3000,127
1978,145269,3000,128
1982,189952,3000,129
1986,10882,40000,130
2003,270173,40000,131
1990,14576,3000,132
1991,245313,40000,133
2019,45856,3000,134
1981,121301,3000,135
2001,122096,3000,136
1984,214792,40000,137
1973,192260,3000,138
1994,135470,3000,139
1981,201526,3000,140
1971,29355,40000,141
1979,296156,3000,142
1972,104203,3000,143
1980,120422,3000,144
1976,163357,40000,145
1994,13148,3000,146
1976,262293,3000,147
1991,191367,3000,148
1982,349,40000,149
2022,144602,40000,150
2007,185407,40000,151
2003,70126,40000,152
1992,151526,40000,153
2018,31585,3000,154
1972,251222,3000,155
1986,12410,3000,156
2011,143908,40000,157
2015,166185,3000,158
2014,248294,3000,159
2018,126444,3000,160
2003,211766,40000,161
2000,8041,3000,162
1979,298484,3000,163
2001,7406,3000,164
1974,103291,40000,165
1987,7591,3000,166
1989,48877,3000,167
2004,267758,3000,168
1998,236371,40000,169
1993,232709,40000,170
1981,83541,40000,171
2018,229871,3000,172
2017,223707,40000,173
1992,102627,3000,174
1975,234651,40000,175
2001,222111,40000,176
2016,200989,3000,177
2007,3174,40000,178
1972,158830,40000,179
1975,226442,3000,180
2016,53180,3000,181
2001,138561,3000,182
2014,67227,3000,183
2019,169279,40000,184
1973,37985,40000,185
2017,69517,40000,186
2021,175365,3000,187
2005,71485,3000,188
1990,297769,40000,189
1976,185073,3000,190
2002,177204,40000,191
1991,17876,3000,192
1976,127397,3000,193
1984,72068,3000,194
1971,203966,40000,195
2016,266985,40000,196
2009,191438,3000,197
2000,296738,40000,198
1974,135426,3000,199
1972,237316,40000,200
2004,112749,3000,201
1998,17564,3000,202
2001,218996,40000,203
1991,258300,3000,204
2009,163896,3000,205
1976,105866,40000,206
2007,2652,40000,207
2022,146001,40000,208
1991,248592,40000,209
1980,245874,3000,210
1994,106695,3000,211
2012,45706,3000,212
2023,278693,3000,213
2015,290335,40000,214
2014,88095,3000,215
2002,60445,3000,216
1996,14938,40000,217
2015,104979,3000,218
2020,93369,3000,219
2022,229036,40000,220
1986,234144,40000,221
1992,169078,3000,222
1996,177165,3000,223
1997,123415,40000,224
1976,259751,40000,225
1982,162013,3000,226
2011,27247,40000,227
1992,200768,40000,228
2023,41737,3000,229
2020,115712,40000,230
1993,11820,40000,231
2000,230856,3000,232
2011,93754,3000,233
1975,68943,40000,234
1989,88890,40000,235
2007,225861,3000,236
2017,244436,40000,237
2004,7133,3000,238
1973,99636,3000,239
1985,8777,40000,240
2008,34538,3000,241
2010,3756,40000,242
2018,189268,3000,243
1995,222511,40000,244
2011,163693,3000,245
1994,275822,3000,246
1980,243926,3000,247
2006,17511,40000,248
1994,79346,3000,249
1978,171525,3000,250
1977,90494,3000,251
1972,93525,3000,252
1973,77104,3000,253
1995,189923,40000,254
1994,247573,3000,255
2021,242867,40000,256
1983,274963,3000,257
1974,150800,3000,258
1989,165447,3000,259
2005,33216,3000,260
2008,263239,40000,261
1992,34898,40000,262
1998,29486,40000,263
2000,200894,40000,264
1988,122313,40000,265
1996,113013,40000,266
1998,172328,40000,267
1994,73963,40000,268
2001,160298,40000,269
1998,85275,40000,270
2020,160484,40000,271
2002,272218,3000,272
2006,54771,40000,273
2009,109947,3000,274
1976,170396,3000,275
1988,145703,3000,276
2007,178216,40000,277
2017,80567,40000,278
1987,139342,3000,279
1972,63108,40000,280
1978,245407,3000,281
1991,77193,40000,282
2017,235633,3000,283
2008,27361,3000,284
1981,198299,40000,285
1980,170283,3000,286
2015,242318,40000,287
1970,265631,3000,288
1994,89464,3000,289
2022,299029,40000,290
1995,15428,3000,291
2010,66585,40000,292
1977,97047,40000,293
2000,249479,40000,294
1976,143058,40000,295
1991,10507,40000,296
1984,154923,40000,297
2003,78695,40000,298
2021,220824,3000,299
1986,219377,40000,300
2023,257657,3000,301
2009,253889,40000,302
2009,95038,3000,303
2012,38253,40000,304
1994,73166,40000,305
2001,106913,3000,306
1978,247189,40000,307
2015,130713,3000,308
1991,188713,40000,309
1993,183176,3000,310
1987,180916,3000,311
2004,167971,40000,312
2016,231589,40000,313
1980,240932,3000,314
1970,241,3000,315
1994,19304,3000,316
2021,143400,40000,317
2003,49365,3000,318
2018,15401,3000,319
1989,281035,3000,320
2021,98092,40000,321
1983,200945,40000,322
1977,283974,40000,323
1987,142599,3000,324
1992,164017,40000,325
1999,75078,40000,326
2000,248212,3000,327
2016,43789,40000,328
1973,187640,40000,329
1977,98042,3000,330
2014,168598,40000,331
2009,57466,3000,332
1976,94258,3000,333
1990,239470,40000,334
1998,110769,40000,335
2001,72175,40000,336
1992,45682,40000,337
1999,260312,40000,338
1977,98507,3000,339
1994,197133,3000,340
1980,277341,40000,341
2001,177182,40000,342
2006,80672,40000,343
2014,44241,3000,344
1976,220516,40000,345
1985,25988,40000,346
1997,94293,3000,347
1983,259546,40000,348
1984,252709,40000,349
1986,168292,3000,350
2003,204278,3000,351
1994,242073,3000,352
2006,128863,3000,353
1995,138990,40000,354
2011,163113,3000,355
1982,106273,3000,356
2002,181620,3000,357
1996,5051,40000,358
2020,226686,3000,359
2009,261087,3000,360
2013,60631,3000,361
2008,179621,3000,362
2017,113605,3000,363
2011,120432,3000,364
2022,222273,40000,365
1996,246646,40000,366
2020,129923,3000,367
2009,99346,40000,368
1991,283788,3000,369
1984,229805,3000,370
1985,116040,40000,371
2000,197104,3000,372
1988,7438,3000,373
2006,44330,3000,374
2020,123827,3000,375
2008,108706,40000,376
1992,230661,3000,377
2001,95801,40000,378
1988,209558,40000,379
2010,6899,40000,380
1982,280927,3000,381
1996,18659,40000,382
2023,34099,3000,383
2012,115182,3000,384
2019,146485,40000,385
1978,42088,40000,386
1979,16570,3000,387
1973,72884,40000,388
1979,186279,40000,389
2019,96015,3000,390
1998,217399,40000,391
2002,115156,40000,392
1994,100633,3000,393
1973,153892,40000,394
2015,28427,40000,395
2016,270406,3000,396
2013,199425,3000,397
2020,157822,40000,398
1985,26707,3000,399
2017,247342,3000,400
2010,192556,3000,401
1993,140486,40000,402
1984,170361,40000,403
1994,213193,3000,404
1993,190188,3000,405
1989,209507,40000,406
2008,239348,40000,407
2017,154416,3000,408
2021,123716,40000,409
2010,94951,3000,410
1997,235951,40000,411
1981,142458,3000,412
1970,282256,40000,413
1992,35188,40000,414
2017,29668,40000,415
1988,90550,3000,416
2012,4183,3000,417
1985,21279,3000,418
2004,223759,3000,419
1974,177492,40000,420
2011,203866,3000,421
2023,69276,3000,422
1981,157452,40000,423
2019,84638,40000,424
1971,260845,3000,425
2015,112851,3000,426
1975,257529,40000,427
1977,104125,40000,428
2015,57797,3000,429
2008,79169,3000,430
1992,136097,3000,431
2003,36034,3000,432
1982,201079,40000,433
2009,161549,40000,434
1998,54407,3000,435
2019,158551,40000,436
2012,159349,40000,437
2023,287350,3000,438
1980,146879,40000,439
2023,1773,3000,440
2016,256649,3000,441
2008,190721,3000,442
2001,151497,40000,443
1979,66115,3000,444
1988,286110,3000,445
2003,236128,40000,446
1995,134214,40000,447
2015,143835,40000,448
2022,298378,3000,449
1991,193077,40000,450
1971,102329,3000,451
1985,246462,40000,452
2003,289098,40000,453
1971,10590,40000,454
1996,27228,40000,455
1979,17124,3000,456
1982,182889,3000,457
1997,162025,40000,458
1971,120618,40000,459
1999,176132,40000,460
1994,113776,40000,461
2005,204600,40000,462
2001,144665,3000,463
1979,92588,40000,464
1971,192653,40000,465
2021,281026,40000,466
1975,277198,40000,467
1985,281291,3000,468
2022,234348,40000,469
1986,84162,3000,470
1996,281220,40000,471
2007,167658,40000,472
1979,299423,40000,473
1994,190506,40000,474
2020,167184,3000,475
2004,223880,40000,476
1984,1813,3000,477
2023,97438,3000,478
2001,160522,3000,479
1999,94459,40000,480
2009,274849,3000,481
2002,160652,40000,482
2020,156899,40000,483
1978,51792,40000,484
1989,2384,3000,485
2022,32737,40000,486
1972,197050,3000,487
2017,290753,40000,488
2000,140686,3000,489
2013,94166,40000,490
1984,213070,3000,491
1978,151454,3000,492
2016,28387,3000,493
2002,190553,40000,494
2019,272394,40000,495
1980,287921,40000,496
1972,9284,40000,497
1985,47276,3000,498
2010,181954,40000,499
1987,9897,40000,500
2010,65933,3000,501
1994,176936,40000,502
2023,17863,40000,503
1986,228951,40000,504
2015,95413,40000,505
2001,77519,3000,506
1973,53565,40000,507
2001,256219,3000,508
1996,187698,40000,509
1991,3031,3000,510
2005,256031,40000,511
2020,208288,40000,512
1999,159777,3000,513
1992,266883,40000,514
2019,219856,40000,515
2013,203156,3000,516
1975,245248,40000,517
1995,73738,3000,518
2017,175704,3000,519
1981,27610,40000,520
1997,162258,3000,521
1997,181164,40000,522
1997,240275,40000,523
1997,204411,3000,524
1981,4713,3000,525
1995,271467,40000,526
1971,204539,3000,527
1973,29557,40000,528
1995,295029,3000,529
1986,80022,3000,530
2006,83850,3000,531
1990,75171,40000,532
1991,145773,3000,533
1984,215263,40000,534
2003,204824,40000,535
2016,69904,3000,536
2006,239245,3000,537
1994,84688,3000,538
1994,171778,40000,539
1976,154998,40000,540
1978,298656,3000,541
1986,155553,40000,542
2005,290014,40000,543
2002,126576,40000,544
1991,202173,40000,545
1979,246812,3000,546
1991,151860,3000,547
1976,114786,40000,548
1991,19996,40000,549
1984,8607,40000,550
1978,145540,40000,551
2003,171776,3000,552
1986,268548,3000,553
2013,216600,40000,554
2008,122631,3000,555
1991,111456,3000,556
2012,150178,40000,557
2019,263655,3000,558
1996,93596,3000,559
1981,154892,3000,560
1979,80721,3000,561
1983,262565,3000,562
2002,28133,3000,563
1971,232214,3000,564
2017,155158,3000,565
2016,66554,40000,566
2010,76961,3000,567
2020,278448,40000,568
2017,110432,40000,569
2008,72106,40000,570
1985,236874,40000,571
1972,220743,3000,572
2014,12616,3000,573
1997,132886,40000,574
2006,226551,3000,575
2012,285192,3000,576
2018,157100,3000,577
1995,217307,3000,578
2003,61968,3000,579
1971,292597,3000,580
2013,94413,3000,581
1975,189967,40000,582
2009,289579,3000,583
2016,173008,3000,584
1981,6767,40000,585
2000,101508,40000,586
2023,271404,3000,587
1991,17428,40000,588
2001,210203,40000,589
2001,180916,40000,590
1980,244296,3000,591
1990,257512,40000,592
1988,160576,40000,593
1995,281036,40000,594
1997,58587,3000,595
1999,174880,3000,596
1999,139738,3000,597
1990,117219,40000,598
1993,206263,40000,599
2014,98680,3000,600
2015,152060,40000,601
2004,167337,3000,602
1997,136641,40000,603
1970,132655,40000,604
2023,52801,3000,605
2009,209841,40000,606
2015,293125,3000,607
1970,63768,40000,608
1991,109517,40000,609
1993,28899,3000,610
2001,147023,3000,611
1985,298311,40000,612
1982,187369,40000,613
1972,251878,3000,614
2012,206395,40000,615
2013,89645,40000,616
2019,269275,40000,617
1976,219422,3000,618
2017,156685,40000,619
2018,108593,3000,620
1984,245473,3000,621
1997,137924,3000,622
2000,231653,40000,623
2009,54840,40000,624
2018,87495,40000,625
2015,130829,40000,626
1973,10946,40000,627
2014,180711,3000,628
1973,90118,40000,629
1976,129221,3000,630
2023,152624,3000,631
1985,282723,3000,632
1988,140205,40000,633
2011,162988,40000,634
1981,290111,40000,635
2006,269819,40000,636
2012,110884,3000,637
1970,184768,3000,638
2016,265640,40000,639
1994,37467,40000,640
2005,204862,3000,641
1996,63971,3000,642
2000,26802,40000,643
2011,12922,3000,644
2006,254122,40000,645
2007,90857,40000,646
1992,60395,40000,647
2001,940,3000,648
1997,138565,3000,649
2007,251345,3000,650
2014,224532,3000,651
2018,166232,40000,652
1986,99264,3000,653
2022,123343,3000,654
2014,103254,40000,655
1994,106590,3000,656
1996,95638,3000,657
1983,94289,40000,658
1974,91225,40000,659
2018,61610,3000,660
2002,197246,40000,661
2018,82718,3000,662
2019,240324,3000,663
1997,113160,3000,664
1972,50877,3000,665
1972,56887,3000,666
1997,194370,3000,667
1973,203436,40000,668
2022,235998,40000,669
2011,251012,40000,670
1998,39481,3000,671
1995,92958,40000,672
2018,63744,3000,673
1971,28357,40000,674
1985,138176,40000,675
1984,178650,3000,676
2012,275825,3000,677
2003,167233,3000,678
1988,299341,40000,679
1987,122809,3000,680
1990,54784,40000,681
2001,223768,3000,682
2006,124633,40000,683
1989,117183,3000,684
1986,45115,40000,685
1998,295258,3000,686
2015,90276,40000,687
1994,299200,40000,688
1977,193338,40000,689
2016,219,3000,690
1974,50650,3000,691
1974,104516,3000,692
2002,276737,3000,693
1997,49451,40000,694
1983,290567,3000,695
2019,173940,3000,696
2012,127449,3000,697
2017,209325,40000,698
2015,133492,3000,699
2011,45180,40000,700
1977,156340,40000,701
2009,287585,3000,702
1999,133871,40000,703
1993,176701,40000,704
2001,44096,3000,705
2008,112521,3000,706
1971,271269,40000,707
1996,158344,3000,708
1983,262867,40000,709
1973,101561,40000,710
1996,202664,40000,711
1993,163493,3000,712
2010,137173,3000,713
2019,290855,3000,714
2014,43654,3000,715
2022,120919,40000,716
1998,133903,40000,717
2020,168291,40000,718
2019,106955,40000,719
1979,284046,40000,720
1998,85523,3000,721
2006,10996,3000,722
2016,214698,3000,723
1989,217489,3000,724
1993,140907,40000,725
2019,145373,40000,726
1973,162463,3000,727
1985,252911,3000,728
1970,4879,3000,729
2007,233774,40000,730
1985,66114,40000,731
2001,139381,3000,732
1983,19010,40000,733
2016,252287,40000,734
1976,291540,40000,735
1988,163320,40000,736
1972,20472,40000,737
2014,94603,40000,738
1983,200734,40000,739
2003,252587,40000,740
1987,243222,3000,741
1997,96832,40000,742
1990,140307,3000,743
2012,228938,40000,744
2022,13458,3000,745
1985,153023,40000,746
1973,49600,40000,747
1980,70945,40000,748
2014,9053,40000,749
2006,296186,40000,750
2012,217390,40000,751
2004,154038,3000,752
1991,206661,40000,753
2011,206548,3000,754
1991,147832,40000,755
2014,76648,40000,756
1986,197213,3000,757
2001,228283,3000,758
1975,236941,3000,759
2001,13248,40000,760
2020,55633,3000,761
2015,50609,40000,762
2012,93723,3000,763
1986,1348,3000,764
2004,32481,40000,765
1987,18032,40000,766
2019,83236,40000,767
1985,159767,40000,768
2011,65213,40000,769
2011,267927,40000,770
2014,30536,40000,771
1995,291832,40000,772
1978,193505,40000,773
2001,37545,40000,774
1985,114393,40000,775
1996,77283,40000,776
2001,7966,40000,777
1986,242081,40000,778
1975,153265,3000,779
2004,171932,40000,780
2002,109771,3000,781
2003,34773,3000,782
2000,12733,3000,783
2016,160049,40000,784
1999,121112,40000,785
1980,191720,40000,786
2017,82518,3000,787
2015,263341,3000,788
2012,131358,3000,789
2005,175308,3000,790
2010,193653,3000,791
2001,78399,3000,792
2009,185775,40000,793
1986,53162,3000,794
1978,24352,40000,795
1975,33984,40000,796
2013,34930,40000,797
1991,47069,40000,798
1991,203522,40000,799
1978,111987,3000,800
1975,215278,40000,801
1990,215308,40000,802
2009,135640,3000,803
1971,253275,3000,804
2007,44375,40000,805
1999,103756,3000,806
1976,214684,3000,807
1989,272613,40000,808
1987,158834,3000,809
1976,14790,40000,810
2013,114992,3000,811
1995,240677,3000,812
1972,160745,40000,813
1974,136597,3000,814
2013,41124,3000,815
1981,135200,3000,816
1994,49938,3000,817
2022,51392,40000,818
1977,139842,40000,819
1996,30516,3000,820
1992,183868,40000,821
1992,43686,40000,822
1988,239810,40000,823
2010,69907,40000,824
2011,140939,40000,825
1973,99637,40000,826
2001,121869,40000,827
1971,280302,3000,828
2001,5265,40000,829
1977,219844,3000,830
2018,39959,3000,831
2006,251066,3000,832
1975,227437,3000,833
1992,49796,40000,834
1979,36585,3000,835
1984,92725,3000,836
1972,126548,3000,837
2017,201676,3000,838
1993,113091,40000,839
2020,126962,3000,840
2018,181345,40000,841
1979,111630,3000,842
1994,29779,3000,843
1982,132131,40000,844
2000,290133,3000,845
1993,43172,40000,846
1977,153449,40000,847
1992,112291,3000,848
2021,27877,40000,849
1976,42046,40000,850
1974,107814,40000,851
2021,104274,3000,852
2011,76286,40000,853
1997,152840,40000,854
1974,20421,40000,855
2012,165931,40000,856
1974,117687,3000,857
1974,136413,40000,858
1987,173746,40000,859
2021,87561,3000,860
1986,138584,3000,861
1973,183129,40000,862
2012,2857,40000,863
1972,37452,40000,864
1988,92781,40000,865
1992,13397,3000,866
1999,297514,40000,867
1970,185442,3000,868
2013,172584,3000,869
2011,26382,40000,870
2006,270949,3000,871
2000,294792,40000,872
2013,156129,3000,873
2007,287233,3000,874
2001,29359,40000,875
1989,63538,3000,876
1982,39439,40000,877
1984,148437,3000,878
2018,104580,40000,879
2017,52130,40000,880
1992,38406,3000,881
1980,231148,40000,882
2018,259956,3000,883
2003,19976,40000,884
1980,272180,3000,885
1972,225258,40000,886
2008,176423,3000,887
2023,152313,3000,888
2012,219300,3000,889
2021,223694,3000,890
1976,126855,40000,891
1980,151369,40000,892
2019,146178,3000,893
2022,80747,3000,894
2007,63198,3000,895
1996,224750,3000,896
2006,57320,40000,897
1993,153674,40000,898
2011,270124,3000,899
1981,279898,3000,900
2021,84572,3000,901
2017,239374,40000,902
2005,111647,40000,903
2012,293149,40000,904
1971,106251,40000,905
