Id,Row1,Row2,Row3,Cost1,Cost2
1,A,C1,E11,3000,113508
2,E,D1,F11,3000,254548
3,D,E1,F11,3000,72730
4,E,E1,D11,3000,259608
5,A,A1,C11,3000,232249
6,C,E1,C11,3000,61540
7,A,E1,B11,40000,240233
8,E,D1,A11,3000,268585
9,A,B1,E11,3000,144298
10,D,E1,A11,3000,40696
11,A,F1,F11,3000,170069
12,D,E1,C11,3000,222044
13,E,D1,D11,40000,273382
14,A,B1,F11,3000,59436
15,E,C1,A11,40000,150717
16,E,B1,F11,40000,49939
17,C,A1,B11,40000,52821
18,C,A1,D11,40000,252082
19,F,E1,D11,40000,54113
20,D,F1,B11,40000,34305
21,F,C1,F11,40000,37623
22,B,F1,F11,3000,81103
23,A,A1,B11,3000,80405
24,F,C1,C11,40000,154751
25,C,A1,D11,3000,157910
26,F,B1,E11,3000,242513
27,B,F1,C11,40000,3220
28,E,F1,F11,3000,57715
29,C,C1,F11,3000,205248
30,C,A1,B11,3000,32337
31,A,B1,C11,40000,33419
32,C,F1,B11,40000,114448
33,D,D1,F11,3000,241159
34,D,B1,E11,40000,69779
35,F,D1,C11,40000,47383
36,E,D1,F11,40000,255932
37,A,F1,A11,3000,105525
38,C,F1,B11,3000,262261
39,B,B1,D11,3000,219213
40,A,B1,B11,40000,122412
41,B,B1,D11,40000,28043
42,B,F1,F11,3000,148218
43,D,F1,F11,40000,184409
44,C,A1,F11,3000,43354
45,C,F1,B11,40000,180067
46,F,C1,C11,3000,245558
47,F,A1,B11,3000,13051
48,C,B1,D11,3000,254200
49,B,B1,B11,40000,150394
50,D,F1,E11,40000,103857
51,D,F1,A11,40000,67426
52,E,D1,B11,3000,108810
53,E,E1,B11,40000,80176
54,D,A1,B11,40000,209331
55,C,A1,B11,40000,29009
56,A,B1,E11,40000,91557
57,A,E1,B11,40000,191738
58,D,C1,A11,3000,131760
59,F,E1,E11,40000,80401
60,B,C1,A11,3000,46384
61,A,E1,B11,3000,166854
62,E,F1,D11,40000,187429
63,E,A1,F11,3000,210092
64,A,B1,E11,3000,98861
65,E,D1,D11,3000,252773
66,D,D1,B11,40000,91292
67,F,D1,E11,3000,48992
68,A,B1,B11,3000,194420
69,B,C1,A11,3000,84183
70,E,F1,B11,3000,101136
71,F,C1,A11,3000,196541
72,F,C1,A11,3000,58277
73,B,E1,F11,3000,187974
74,F,B1,B11,40000,195985
75,D,C1,F11,40000,138342
76,C,D1,F11,3000,271974
77,B,F1,F11,40000,146346
78,C,B1,D11,3000,169129
79,B,B1,A11,40000,146865
80,C,A1,E11,3000,116302
81,E,B1,E11,3000,224008
82,E,D1,C11,40000,97972
83,B,B1,A11,40000,20021
84,F,C1,A11,3000,14259
85,E,B1,D11,3000,289637
86,D,B1,D11,40000,226325
87,D,D1,B11,3000,270779
88,C,F1,A11,3000,154802
89,F,E1,D11,3000,277440
90,D,E1,E11,3000,55317
91,F,E1,A11,40000,66903
92,B,E1,B11,40000,1399
93,D,A1,F11,40000,238975
94,B,E1,F11,40000,150766
95,A,E1,F11,3000,254041
96,C,E1,E11,3000,186495
97,B,A1,A11,3000,182657
98,D,E1,D11,3000,215983
99,B,E1,C11,40000,283529
100,A,E1,E11,3000,276410
101,E,F1,A11,3000,8291
102,E,B1,E11,3000,62018
103,C,D1,C11,40000,185727
104,E,C1,A11,3000,23984
105,E,A1,F11,3000,239557
106,D,B1,D11,40000,255001
107,B,E1,B11,40000,110678
108,A,B1,E11,40000,213087
109,E,D1,D11,40000,177473
110,A,D1,B11,3000,40975
111,A,A1,E11,3000,199195
112,F,B1,C11,3000,285838
113,E,B1,E11,40000,11210
114,E,B1,C11,3000,266383
115,E,B1,B11,3000,220830
116,E,F1,F11,3000,257049
117,A,C1,C11,3000,182555
118,F,B1,D11,40000,82946
119,B,B1,D11,40000,108007
120,A,D1,D11,3000,200479
121,F,F1,D11,40000,76879
122,B,F1,E11,3000,188507
123,B,E1,C11,40000,236501
124,E,E1,B11,40000,99878
125,A,A1,B11,40000,70317
126,A,F1,A11,3000,216760
127,F,B1,B11,3000,37155
128,B,C1,B11,40000,119118
129,B,D1,E11,40000,264797
130,A,C1,A11,3000,121169
131,B,C1,E11,40000,73874
132,F,C1,C11,40000,109736
133,F,D1,E11,3000,86104
134,E,D1,F11,40000,252018
135,E,C1,F11,40000,135117
136,D,C1,F11,40000,257587
137,F,F1,F11,40000,175211
138,D,E1,A11,40000,83515
139,C,B1,B11,40000,11741
140,C,B1,E11,3000,136229
141,D,C1,C11,3000,168352
142,D,F1,D11,40000,167146
143,D,B1,D11,40000,102418
144,C,B1,F11,3000,131252
145,A,D1,D11,3000,3152
146,D,C1,B11,40000,279970
147,C,A1,C11,3000,116701
148,B,F1,B11,40000,5576
149,D,A1,B11,40000,84796
150,D,B1,D11,40000,259178
151,E,E1,E11,40000,47564
152,D,B1,F11,3000,168565
153,F,A1,D11,40000,177718
154,D,E1,A11,3000,188731
155,D,F1,A11,3000,165811
156,F,F1,F11,3000,281334
157,A,A1,C11,40000,282289
158,A,D1,C11,3000,186872
159,C,E1,A11,3000,104379
160,D,A1,C11,3000,259936
161,F,A1,C11,3000,208520
162,D,D1,E11,40000,171493
163,B,D1,A11,3000,205403
164,A,C1,D11,40000,22618
165,C,A1,F11,3000,17833
166,F,C1,F11,3000,125371
167,A,A1,F11,40000,170341
168,E,E1,C11,3000,189240
169,C,D1,F11,3000,118943
170,D,A1,F11,40000,54734
171,A,B1,E11,3000,42126
172,D,C1,F11,3000,29506
173,E,C1,F11,3000,115343
174,F,D1,F11,3000,266513
175,B,B1,B11,3000,233035
176,B,D1,B11,40000,179247
177,E,C1,A11,3000,123799
178,C,B1,B11,40000,118792
179,B,F1,D11,40000,70866
180,C,E1,D11,3000,112674
181,C,C1,C11,40000,95819
182,C,E1,E11,40000,210685
183,F,E1,F11,3000,29247
184,E,C1,F11,40000,12839
185,B,D1,C11,3000,229138
186,C,E1,D11,3000,30421
187,B,E1,B11,40000,65261
188,C,C1,D11,3000,137286
189,F,F1,A11,40000,140178
190,A,D1,E11,3000,67505
191,C,D1,D11,3000,89494
192,C,A1,F11,3000,196139
193,D,F1,A11,3000,120939
194,A,C1,A11,40000,30479
195,B,B1,A11,3000,58077
196,A,B1,A11,40000,121062
197,A,C1,E11,40000,236492
198,E,B1,C11,3000,126174
199,D,E1,C11,3000,174965
200,D,D1,A11,3000,241665
201,A,B1,A11,3000,55138
202,E,F1,C11,3000,85171
203,B,B1,A11,40000,106376
204,D,F1,A11,40000,179462
205,E,D1,B11,3000,38757
206,C,F1,A11,40000,277448
207,A,D1,A11,3000,146129
208,E,D1,C11,3000,210642
209,B,E1,B11,40000,127957
210,D,C1,B11,3000,150216
211,B,C1,C11,3000,131761
212,E,A1,F11,40000,227111
213,D,A1,F11,3000,232410
214,F,B1,F11,3000,77291
215,E,F1,A11,3000,152161
216,B,F1,F11,3000,258971
217,F,C1,A11,3000,11368
218,B,C1,A11,3000,15738
219,A,A1,D11,40000,281778
220,B,D1,A11,40000,275330
221,A,B1,E11,40000,11275
222,E,D1,C11,3000,181458
223,C,B1,D11,3000,117513
224,C,B1,F11,40000,3178
225,A,F1,E11,40000,178242
226,F,E1,B11,3000,110119
227,C,E1,D11,40000,179040
228,D,C1,E11,40000,103458
229,E,B1,D11,40000,109607
230,E,E1,B11,40000,173027
231,D,A1,E11,40000,174930
232,B,E1,B11,3000,255425
233,C,E1,F11,40000,4890
234,F,E1,B11,3000,86161
235,B,B1,E11,3000,115298
236,C,B1,A11,3000,54388
237,E,E1,B11,40000,203122
238,E,A1,F11,40000,161496
239,F,D1,E11,40000,18323
240,C,D1,A11,40000,278792
241,B,F1,A11,40000,111701
242,B,A1,D11,3000,286019
243,B,E1,B11,40000,114199
244,B,C1,F11,3000,110550
245,A,A1,D11,3000,229456
246,B,E1,C11,40000,3091
247,E,D1,A11,40000,296646
248,A,E1,F11,3000,291127
249,F,A1,F11,3000,92491
250,C,C1,F11,40000,75311
251,E,E1,F11,40000,273972
252,C,C1,E11,40000,177222
253,D,A1,B11,3000,90051
254,E,B1,A11,3000,91560
255,F,A1,E11,40000,108818
256,C,F1,B11,3000,122778
257,D,C1,F11,40000,12106
258,E,A1,E11,40000,299970
259,F,B1,C11,3000,269571
260,C,F1,E11,40000,200094
261,F,B1,A11,40000,89651
262,F,F1,D11,3000,194411
263,C,B1,F11,3000,84052
264,E,A1,F11,40000,75961
265,A,C1,B11,40000,262612
266,A,E1,F11,3000,19618
267,C,A1,B11,3000,230112
268,D,E1,A11,40000,20478
269,F,E1,B11,40000,200865
270,D,A1,A11,3000,76960
271,F,F1,E11,40000,67697
272,F,D1,E11,40000,201077
273,E,B1,D11,3000,61426
274,C,B1,E11,3000,10677
275,B,C1,B11,3000,184691
276,F,A1,F11,3000,234930
277,D,A1,C11,40000,133245
278,E,F1,D11,40000,213087
279,B,C1,E11,3000,69736
280,D,C1,F11,3000,186610
281,C,A1,F11,3000,159041
282,F,D1,D11,3000,82873
283,E,F1,B11,3000,146478
284,A,D1,E11,3000,58055
285,C,E1,E11,40000,154136
286,A,C1,F11,40000,84132
287,F,D1,C11,40000,286805
288,A,C1,B11,40000,78192
289,E,B1,A11,3000,196638
290,E,B1,C11,40000,73260
291,A,C1,C11,3000,120296
292,C,D1,F11,3000,112220
293,C,B1,E11,40000,261823
294,E,A1,E11,40000,110113
295,F,D1,C11,40000,179366
296,D,F1,F11,40000,299823
297,C,B1,D11,40000,183349
298,C,C1,B11,40000,247157
299,E,B1,C11,3000,12198
300,A,E1,F11,40000,188868
301,F,B1,B11,40000,38650
302,B,E1,C11,40000,261650
303,A,F1,F11,3000,290425
304,A,D1,C11,3000,294753
305,E,A1,C11,3000,183316
306,F,B1,F11,40000,269532
307,C,A1,A11,40000,237290
308,A,D1,E11,40000,41505
309,D,B1,B11,3000,228202
310,E,A1,C11,40000,276872
311,B,E1,A11,3000,163096
312,B,E1,C11,3000,145757
313,F,F1,B11,40000,280199
314,A,E1,F11,40000,122363
315,D,C1,E11,40000,49338
316,E,F1,A11,40000,174370
317,C,F1,F11,40000,259084
318,C,D1,E11,40000,2161
319,C,C1,F11,3000,141717
320,A,E1,D11,3000,236779
321,D,D1,E11,40000,176175
322,D,C1,F11,40000,79448
323,D,B1,D11,3000,262643
324,A,F1,B11,3000,218716
325,A,A1,A11,40000,73554
326,A,C1,D11,3000,5011
327,C,A1,F11,40000,287021
328,D,E1,C11,40000,108792
329,B,F1,E11,3000,136240
330,C,B1,E11,40000,20680
331,A,B1,B11,3000,285154
332,B,A1,E11,40000,145955
333,C,C1,D11,40000,241049
334,B,C1,E11,3000,103034
335,E,E1,F11,3000,141535
336,E,C1,A11,3000,299041
337,A,A1,A11,3000,223834
338,D,F1,B11,40000,253539
339,F,D1,E11,3000,250234
340,B,B1,B11,40000,14850
341,B,C1,C11,3000,248236
342,B,E1,A11,3000,2289
343,E,E1,E11,40000,6676
344,D,C1,E11,40000,13172
345,B,F1,A11,3000,56063
346,B,A1,A11,40000,123719
347,A,B1,E11,3000,263867
348,C,D1,A11,3000,170288
349,C,D1,B11,3000,274190
350,D,C1,D11,3000,236262
351,B,B1,D11,40000,270919
352,E,B1,C11,3000,146998
353,F,C1,B11,40000,144786
354,D,C1,F11,40000,9703
355,D,A1,A11,40000,266243
356,B,A1,C11,40000,269450
357,B,D1,A11,3000,82210
358,E,D1,C11,3000,115407
359,E,B1,B11,40000,262258
360,F,C1,F11,3000,281046
361,C,C1,C11,40000,49318
362,C,F1,E11,40000,13556
363,D,E1,A11,40000,23603
364,E,F1,B11,40000,99508
365,D,A1,E11,3000,218620
366,F,D1,F11,40000,196307
367,E,F1,A11,40000,198482
368,F,E1,B11,40000,177866
369,C,D1,A11,40000,45257
370,F,E1,C11,40000,5657
371,E,C1,F11,40000,173651
372,C,F1,D11,40000,208563
373,D,E1,C11,40000,36336
374,C,B1,C11,3000,282906
375,F,F1,C11,40000,109921
376,E,E1,B11,3000,63966
377,C,F1,B11,3000,237302
378,F,F1,F11,3000,267595
379,C,C1,D11,40000,198337
380,C,D1,B11,40000,144238
381,E,C1,F11,40000,143841
382,F,C1,B11,40000,23516
383,F,F1,B11,3000,111073
384,B,B1,B11,40000,121996
385,C,A1,B11,40000,2064
386,D,B1,A11,40000,152625
387,C,D1,E11,3000,242564
388,A,B1,C11,3000,218149
389,F,F1,E11,40000,93056
390,F,D1,C11,40000,166428
391,B,C1,A11,40000,195584
392,E,E1,B11,40000,113749
393,D,F1,D11,3000,93216
394,F,A1,A11,3000,34546
395,D,D1,C11,3000,133318
396,D,C1,F11,40000,157623
397,E,D1,E11,40000,86649
398,C,A1,A11,3000,292593
399,E,F1,D11,3000,246255
400,E,D1,C11,40000,217425
401,E,F1,A11,3000,93356
402,B,F1,A11,40000,290802
403,B,F1,B11,40000,38733
404,A,A1,C11,40000,22344
405,C,D1,E11,3000,19825
406,A,D1,F11,3000,290565
407,A,B1,A11,3000,219566
408,B,E1,F11,40000,81028
409,E,E1,D11,40000,294033
410,A,B1,E11,40000,214769
411,D,F1,C11,3000,230128
412,F,B1,C11,3000,214639
413,A,D1,F11,3000,233763
414,D,A1,E11,3000,50412
