Row2,Cost1,Cost2,Id
C1,3000,113508,1
D1,3000,254548,2
E1,3000,72730,3
E1,3000,259608,4
A1,3000,232249,5
E1,3000,61540,6
E1,40000,240233,7
D1,3000,268585,8
B1,3000,144298,9
E1,3000,40696,10
F1,3000,170069,11
E1,3000,222044,12
D1,40000,273382,13
B1,3000,59436,14
C1,40000,150717,15
B1,40000,49939,16
A1,40000,52821,17
A1,40000,252082,18
E1,40000,54113,19
F1,40000,34305,20
C1,40000,37623,21
F1,3000,81103,22
A1,3000,80405,23
C1,40000,154751,24
A1,3000,157910,25
B1,3000,242513,26
F1,40000,3220,27
F1,3000,57715,28
C1,3000,205248,29
A1,3000,32337,30
B1,40000,33419,31
F1,40000,114448,32
D1,3000,241159,33
B1,40000,69779,34
D1,40000,47383,35
D1,40000,255932,36
F1,3000,105525,37
F1,3000,262261,38
B1,3000,219213,39
B1,40000,122412,40
B1,40000,28043,41
F1,3000,148218,42
F1,40000,184409,43
A1,3000,43354,44
F1,40000,180067,45
C1,3000,245558,46
A1,3000,13051,47
B1,3000,254200,48
B1,40000,150394,49
F1,40000,103857,50
F1,40000,67426,51
D1,3000,108810,52
E1,40000,80176,53
A1,40000,209331,54
A1,40000,29009,55
B1,40000,91557,56
E1,40000,191738,57
C1,3000,131760,58
E1,40000,80401,59
C1,3000,46384,60
E1,3000,166854,61
F1,40000,187429,62
A1,3000,210092,63
B1,3000,98861,64
D1,3000,252773,65
D1,40000,91292,66
D1,3000,48992,67
B1,3000,194420,68
C1,3000,84183,69
F1,3000,101136,70
C1,3000,196541,71
C1,3000,58277,72
E1,3000,187974,73
B1,40000,195985,74
C1,40000,138342,75
D1,3000,271974,76
F1,40000,146346,77
B1,3000,169129,78
B1,40000,146865,79
A1,3000,116302,80
B1,3000,224008,81
D1,40000,97972,82
B1,40000,20021,83
C1,3000,14259,84
B1,3000,289637,85
B1,40000,226325,86
D1,3000,270779,87
F1,3000,154802,88
E1,3000,277440,89
E1,3000,55317,90
E1,40000,66903,91
E1,40000,1399,92
A1,40000,238975,93
E1,40000,150766,94
E1,3000,254041,95
E1,3000,186495,96
A1,3000,182657,97
E1,3000,215983,98
E1,40000,283529,99
E1,3000,276410,100
F1,3000,8291,101
B1,3000,62018,102
D1,40000,185727,103
C1,3000,23984,104
A1,3000,239557,105
B1,40000,255001,106
E1,40000,110678,107
B1,40000,213087,108
D1,40000,177473,109
D1,3000,40975,110
